eng_id;child_item_id;path;chain_sort;sequenceno
MAT100001;MAT000113;->MODMAT000001->MAT000113;1;1022
MAT100001;MAT000114;->MODMAT000001->MAT000114;1;1018
MAT100001;MAT000115;->MODMAT000001->MAT000115;1;1020
MAT100001;MAT000116;->MODMAT000001->MAT000116;1;1026
MAT100001;MAT000117;->MODMAT000001->MAT000117;1;1024
MAT100001;MAT000118;->MODMAT000001->MAT000118;1;1030
MAT100001;MAT000119;->MODMAT000001->MAT000119;1;1028
MAT100001;MAT000119;->MODMAT000001->MAT000119;1;1034
MAT100001;MAT000120;->MODMAT000001->MAT000120;1;1032
MAT100001;MAT000120;->MODMAT000001->MAT000120;1;1036
MAT100001;MAT000121;->MODMAT000001->MAT000121;1;1084
MAT100001;MAT000122;->MODMAT000001->MAT000121->MAT003121;2;1
MAT100001;MAT000123;->MODMAT000001->MAT000121->MAT003122;2;2
MAT100001;MAT000124;->MODMAT000001->MAT000121->MAT003123;2;3
MAT100001;MAT000125;->MODMAT000001->MAT000121->MAT003124;2;4
MAT100001;MAT000126;->MODMAT000001->MAT000121->MAT003125;2;5
MAT100001;MAT000127;->MODMAT000001->MAT000121->MAT003126;2;6
MAT100001;MAT000128;->MODMAT000001->MAT000128;1;1086
MAT100001;MAT000129;->MODMAT000001->MAT000128->MAT003127;2;1
MAT100001;MAT000130;->MODMAT000001->MAT000128->MAT003127->MAT004746;3;1
MAT100001;MAT000131;->MODMAT000001->MAT000128->MAT003128;2;2
MAT100001;MAT000132;->MODMAT000001->MAT000128->MAT003128->MAT004747;3;1
MAT100001;MAT000133;->MODMAT000001->MAT000128->MAT003129;2;3
MAT100001;MAT000134;->MODMAT000001->MAT000128->MAT003129->MAT004748;3;1
MAT100001;MAT000135;->MODMAT000001->MAT000128->MAT003130;2;4
MAT100001;MAT000136;->MODMAT000001->MAT000136;1;1110
MAT100001;MAT000137;->MODMAT000001->MAT000136->MAT003131;2;10
MAT100001;MAT000138;->MODMAT000001->MAT000138;1;1100
MAT100001;MAT000139;->MODMAT000001->MAT000138->MAT003132;2;1
MAT100001;MAT000140;->MODMAT000001->MAT000140;1;1064
MAT100001;MAT000141;->MODMAT000001->MAT000140->MAT003133;2;2
MAT100001;MAT000142;->MODMAT000001->MAT000140->MAT003134;2;3
MAT100001;MAT000143;->MODMAT000001->MAT000140->MAT003135;2;1
MAT100001;MAT000144;->MODMAT000001->MAT000140->MAT003135->MAT004749;3;7
